辩题ID,辩题,推理自洽性_单Agent,推理自洽性_多Agent,论证完整性_单Agent,论证完整性_多Agent,反反驳能力_单Agent,反反驳能力_多Agent,总分_单Agent,总分_多Agent,胜者,胜者理由,生成耗时_单Agent(秒),生成耗时_多Agent(秒),输入Token,输出Token,评委总Token,单Agent_生成Token,多Agent_生成Token
1,该不该看伴侣手机？,6,9,5,8,4,8,5.0,8.3,adversarial,多Agent方案在推理自洽性、论证完整性和反反驳能力上均明显优于单Agent方案，其逻辑链条清晰且主动化解了隐私侵犯的核心反驳,4.242,62.475,547,806,1353,592,13773
2,没有爱了要不要离婚？,8,9,7,8,6,9,7.0,8.7,adversarial,对抗性方案推理严密，从子女成长角度构筑了更具防御力的论证，有效化解了典型反驳。,1.655,53.886,560,1550,2110,596,13072
3,举报同学作弊导致对方被开除，我错了吗？,7,8,5,7,3,6,5.0,7.0,adversarial,多Agent方案在推理自洽性和论证完整性上明显更优，且具备基础的反反驳能力,4.186,62.485,552,1050,1602,600,13605
4,催婚是爱还是变态？,7,8,6,8,4,9,5.7,8.3,adversarial,多Agent方案主动识别并化解了自主权这一关键反驳，推理更自洽，论证链条更完整,1.923,60.501,575,1174,1749,609,14033
5,精神出轨和肉体出轨哪个更不能接受？,7,9,6,8,4,8,5.7,8.3,adversarial,多Agent方案在推理自洽性、论证完整性及反反驳能力上均明显优于单Agent方案，尤其通过概念界定和预判反驳增强了说服力,1.921,48.178,582,929,1511,601,11245
6,大城床和小城房，你选哪个？,4,9,4,9,3,9,3.7,9.0,adversarial,多Agent方案推理严密，逻辑链条完整，并成功预判并化解了潜在反驳；单Agent方案存在前提与结论的矛盾，且缺乏对反方观点的回应,4.305,56.502,607,983,1590,610,13284
7,早恋该不该支持？,7,9,7,9,6,9,6.7,9.0,adversarial,多Agent方案在逻辑链条完整性、风险预判与化解方面明显更优，论证严密且防御坚实,1.903,52.129,559,881,1440,596,12575
8,为了成功，潜规则放面前你用吗？,7,9,6,9,4,8,5.7,8.7,adversarial,多Agent方案在推理自洽性、论证完整性和反反驳能力三个维度上均明显优于单Agent方案，其逻辑链条更严密，且从信任构建角度提供了更系统的论证,1.922,51.809,578,959,1537,607,11530
9,我不生孩子有错吗？,7,8,6,7,4,7,5.7,7.3,adversarial,多Agent方案在推理自洽性和反反驳能力上均优于单Agent方案，整体逻辑更完整且具备一定的防御性,1.667,46.646,535,1326,1861,588,10977
10,好友恋人出轨，要不要告诉 TA？,7,9,6,8,5,9,6.0,8.7,adversarial,多Agent方案在推理自洽性和反反驳能力方面表现更优，论证更完整,1.839,54.914,569,1291,1860,598,12715
11,你会接受开放式婚姻吗？,7,9,6,8,5,9,6.0,8.7,adversarial,多Agent方案在推理自洽性和反反驳能力上表现更优，论证更加严密且能有效化解潜在反驳,2.144,53.895,579,1342,1921,620,13105
12,没钱要不要生孩子？,7,9,6,8,3,5,5.3,7.3,adversarial,多Agent方案在推理自洽性和论证完整性上表现更优，逻辑链条清晰严密,1.937,47.837,551,1310,1861,601,11383
13,朋友圈要不要屏蔽父母？,8,9,7,9,5,9,6.7,9.0,adversarial,多Agent方案在推理自洽性、论证完整性和反反驳能力三个维度均显著优于单Agent方案，逻辑链条更严密且主动化解潜在反驳,1.826,46.576,557,1404,1961,593,10664
14,高知女性做全职太太浪不浪费？,7,9,6,8,5,9,6.0,8.7,adversarial,对抗性多Agent方案在推理自洽性、论证完整性和反反驳能力上均明显占优，特别是主动构造并化解了潜在反驳，使整个论证更具说服力和逻辑韧性。,1.852,51.386,561,1306,1867,608,12680
15,买房 or 不买房，哪个更幸福？,7,9,6,8,4,8,5.7,8.3,adversarial,对抗性多Agent方案在推理自洽性、论证完整性与反反驳能力方面均显著优于单Agent方案，逻辑更严密，幸福感来源的阐发更深入且具有防御力,1.942,58.386,579,1067,1646,599,12514
16,女性专属停车位是不是歧视？,7,8,6,8,4,8,5.7,8.0,adversarial,对抗性多Agent论点在推理深度、论证完整性和反反驳能力上全面优于单Agent论点,1.963,49.031,583,1201,1784,608,11392
17,爱上人工智能算不算爱情？,7,9,7,9,5,9,6.3,9.0,adversarial,多Agent方案在推理自洽性、论证完整性和反反驳能力上均显著优于单Agent方案，尤其通过主动化解“AI无意识”的反驳实现了严密防御,1.837,54.299,555,1151,1706,594,13440
18,痛苦的绝症病人想要放弃自己的生命，该不该鼓励 TA 撑下去？,6,9,5,9,3,9,4.7,9.0,adversarial,多Agent方案在推理自洽性、论证完整性和反反驳能力上均显著优于单Agent方案，其通过重新定义“鼓励”并主动化解痛苦与尊严的矛盾，构建了严密且富有防御力的论证,1.871,48.777,585,1249,1834,609,11141
19,你支持婚姻有效期 7 年吗？,7,9,6,8,5,9,6.0,8.7,adversarial,多Agent方案在推理自洽性、论证完整性和反反驳能力上均明显优于单Agent方案，通过区分两种经营场景建立了更严密的逻辑闭环。,2.242,56.095,607,1028,1635,632,13267
20,是你，会不会做单身妈妈？,7,8,6,8,5,7,6.0,7.7,adversarial,多Agent方案在论证完整性和推理自洽性上更优，逻辑链条更直接地连接单身母亲选择与子女发展，且具备一定反反驳意识。,1.857,46.737,548,1089,1637,597,10282
21,不给别人添麻烦，是不是一种美德？,7,9,6,8,5,9,6.0,8.7,adversarial,多Agent方案在推理自洽性、论证完整性和反反驳能力上均明显优于单Agent方案，尤其通过主动预判和化解反驳，使论点更具说服力。,1.991,54.524,586,1236,1822,603,13323
22,父母提出要和老伙伴一起去养老院，我该支持还是反对？,7,9,6,8,5,9,6.0,8.7,adversarial,多Agent方案在推理自洽性、论证完整性和反反驳能力三个维度上均显著优于单Agent方案，逻辑更严密，防御更周全。,8.188,89.53,574,1157,1731,609,11916
23,婚礼真的有必要吗？,7,9,6,8,4,9,5.7,8.7,adversarial,对抗性多Agent方案在推理自洽性、论证完整性和反反驳能力三个维度上均明显优于单Agent方案，特别是主动识别并化解了'婚礼无法替代日常经营'这一关键反驳，使论证更具说服力。,2.639,88.215,566,1144,1710,589,10538
24,生活已经被工作填满，我该不该辞职？,8,9,7,8,5,6,6.7,7.7,adversarial,多Agent方案在推理自洽性、论证完整性和反反驳能力上均略优于单Agent方案，尤其因果链更清晰、逻辑跳跃更少,3.222,96.895,588,1076,1664,604,11655
25,结婚前，我让伴侣在 TA 的房本上加上我的名字，有错吗？,7,8,6,7,5,6,6.0,7.0,adversarial,多Agent方案在推理自洽性和论证完整性上略胜一筹，更清晰地建立了从加名到人格尊重的逻辑关联,4.137,101.78,593,791,1384,653,13113
26,“键盘侠”到底算不算侠？,6,8,6,8,3,7,5.0,7.7,adversarial,多Agent方案在推理自洽性、论证完整性和反反驳能力三个维度均显著优于单Agent方案，尤其在对手段与动机的区分和防御性陈述上更严密。,2.952,101.186,586,1129,1715,602,13228
27,我因为太胖，被同学嘲笑欺负，我该减肥吗？,7,9,6,9,5,9,6.0,9.0,adversarial,多Agent方案在推理自洽性、论证完整性和反反驳能力上均显著优于单Agent方案，其主动掌握命运的逻辑更高阶且具防御性,2.855,103.46,575,1084,1659,602,12381
28,感兴趣的工作总是 996，我该不该 886？,1,7,2,7,1,7,1.3,7.0,adversarial,单Agent方案与正方立场完全相悖，推理不自洽；对抗性多Agent方案虽存在勉强之处，但整体逻辑自洽、链条完整并尝试化解反驳，明显更优,3.256,102.902,591,1615,2206,615,11890
29,决意离婚的夫妻，要坚持到孩子高考结束吗？,8,9,7,8,6,8,7.0,8.3,adversarial,多Agent方案在推理的严密性和反反驳预见性上均优于单Agent方案，整体论证更扎实,2.979,102.65,560,1223,1783,605,10903
30,我是独立女性，该不该收彩礼？,6,9,5,9,4,9,5.0,9.0,adversarial,多Agent方案在推理自洽性、论证完整性和反反驳能力三个维度均显著优于单Agent方案，逻辑严密且主动化解反驳,2.681,100.426,571,864,1435,593,12459
